,Date,Open,High,Low,Close,Volume
0,20240101 17:05:00 US/Central,4871.5,4871.5,4871.5,4871.5,2
1,20240101 17:10:00 US/Central,4871.75,4871.75,4871.75,4871.75,1
2,20240101 17:15:00 US/Central,4871.75,4871.75,4871.75,4871.75,0
3,20240101 17:20:00 US/Central,4871.75,4871.75,4871.75,4871.75,0
4,20240101 17:25:00 US/Central,4871.75,4871.75,4871.75,4871.75,0
5,20240101 17:30:00 US/Central,4871.75,4871.75,4871.75,4871.75,0
6,20240101 17:35:00 US/Central,4871.75,4871.75,4871.75,4871.75,0
7,20240101 17:40:00 US/Central,4871.5,4871.5,4871.5,4871.5,5
8,20240101 17:45:00 US/Central,4871.0,4871.0,4871.0,4871.0,1
9,20240101 17:50:00 US/Central,4872.0,4872.0,4872.0,4872.0,1
10,20240101 17:55:00 US/Central,4872.0,4872.0,4872.0,4872.0,0
11,20240101 18:00:00 US/Central,4872.0,4872.0,4872.0,4872.0,0
12,20240101 18:05:00 US/Central,4872.0,4872.0,4872.0,4872.0,0
13,20240101 18:10:00 US/Central,4872.0,4872.0,4872.0,4872.0,0
14,20240101 18:15:00 US/Central,4872.0,4872.0,4872.0,4872.0,0
15,20240101 18:20:00 US/Central,4872.0,4872.0,4872.0,4872.0,0
16,20240101 18:25:00 US/Central,4872.0,4872.0,4872.0,4872.0,0
17,20240101 18:30:00 US/Central,4872.0,4872.0,4872.0,4872.0,0
18,20240101 18:35:00 US/Central,4872.0,4872.0,4872.0,4872.0,0
19,20240101 18:40:00 US/Central,4871.75,4871.75,4871.75,4871.75,1
20,20240101 18:45:00 US/Central,4871.75,4871.75,4871.75,4871.75,0
21,20240101 18:50:00 US/Central,4871.75,4871.75,4871.75,4871.75,0
22,20240101 18:55:00 US/Central,4871.75,4871.75,4871.75,4871.75,0
23,20240101 19:00:00 US/Central,4871.25,4871.25,4871.25,4871.25,1
24,20240101 19:05:00 US/Central,4871.25,4871.25,4871.25,4871.25,0
25,20240101 19:10:00 US/Central,4871.25,4871.25,4871.25,4871.25,0
26,20240101 19:15:00 US/Central,4873.75,4873.75,4873.75,4873.75,1
27,20240101 19:20:00 US/Central,4873.25,4873.25,4873.25,4873.25,5
28,20240101 19:25:00 US/Central,4872.75,4872.75,4872.0,4872.0,7
29,20240101 19:30:00 US/Central,4872.0,4872.0,4872.0,4872.0,0
30,20240101 19:35:00 US/Central,4871.0,4871.0,4871.0,4871.0,1
31,20240101 19:40:00 US/Central,4869.0,4869.0,4869.0,4869.0,1
32,20240101 19:45:00 US/Central,4869.0,4869.0,4869.0,4869.0,0
33,20240101 19:50:00 US/Central,4869.0,4869.0,4869.0,4869.0,0
34,20240101 19:55:00 US/Central,4869.0,4869.0,4869.0,4869.0,0
35,20240101 20:00:00 US/Central,4869.0,4869.0,4869.0,4869.0,0
36,20240101 20:05:00 US/Central,4870.25,4870.25,4870.25,4870.25,1
37,20240101 20:10:00 US/Central,4870.25,4870.25,4870.25,4870.25,0
38,20240101 20:15:00 US/Central,4870.0,4870.0,4869.75,4869.75,2
39,20240101 20:20:00 US/Central,4869.75,4869.75,4869.75,4869.75,0
40,20240101 20:25:00 US/Central,4870.25,4870.25,4870.25,4870.25,1
41,20240101 20:30:00 US/Central,4870.25,4870.25,4870.25,4870.25,0
42,20240101 20:35:00 US/Central,4870.25,4870.25,4869.75,4870.25,5
43,20240101 20:40:00 US/Central,4870.25,4870.25,4870.25,4870.25,0
44,20240101 20:45:00 US/Central,4870.25,4870.25,4870.25,4870.25,0
45,20240101 20:50:00 US/Central,4870.25,4870.25,4870.25,4870.25,0
46,20240101 20:55:00 US/Central,4870.25,4870.25,4870.25,4870.25,0
47,20240101 21:00:00 US/Central,4870.25,4870.25,4870.25,4870.25,3
48,20240101 21:05:00 US/Central,4870.25,4870.25,4870.25,4870.25,0
49,20240101 21:10:00 US/Central,4870.25,4870.25,4870.25,4870.25,0
50,20240101 21:15:00 US/Central,4869.75,4869.75,4869.75,4869.75,1
