ID,Name,Definition,symbol,exchange,Contract Size,Multiplier,Currency,Months,Tick / $ Value,Tick,Value,Symbol_data,secType,symbol_ib,ContractMonth,str_contract_month
0,Micro E-mini S&P 500,Micro E-mini Futures,MES,CME,$5 x S&P Index,5,USD,"H,M,U,Z",0.25 / $1.25,0.25,1.25,ES=F,FUT,MESU4,20240920,SEP
1,Micro E-mini Nasdaq-100,Micro E-mini Futures,MNQ,CME,$2 x Nasdaq-100 Index,2,USD,"H,M,U,Z",0.25 / $0.50,0.25,0.5,NQ=F,FUT,MNQU4,20240920,SEP
2,Micro E-mini Dow,Micro E-mini Futures,MYM,CME,$0.50 x DJIA Index,0,USD,"H,M,U,Z",1.00 / $0.50,1.0,0.5,YM=F,,,0,
3,Micro E-mini Russell 2000,Micro E-mini Futures,M2K,CME,$5 x Russell 2000 Index,5,USD,"H,M,U,Z",0.10 / $0.50,0.1,0.5,M2K=F,FUT,M2KU4,20240920,SEP
4,Micro-DAX,Micro E-mini Futures,MDAX,EUREX,€1 x Index Value,1,EUR,"H,M,U,Z",1 /€1.00,1.0,1.0,DAX,,,0,
5,E-mini S&P 500,Stock Index,ES,CME,$50 x Index Value,50,USD,"H,M,U,Z",0.25 / $12.50,0.25,12.5,ES=F,FUT,ESU4,20240920,SEP
6,E-mini Nasdaq-100,Stock Index,NQ,CME,$20 x Index Value,20,USD,"H,M,U,Z",0.25 / $5.00,0.25,5.0,NQ=F,FUT,NQU4,20240920,SEP
7,E-mini Dow ($5),Stock Index,YM,CME,$5 x Index Value,5,USD,"H,M,U,Z",1 / $5.00,1.0,5.0,YM=F,,,0,
8,E-mini Russell 2000,Stock Index,RTY,CME,$50 x Index Value,50,USD,"H,M,U,Z",0.1 / $5.00,0.1,5.0,RTY=F,FUT,RTYU4,20240920,SEP
9,E-mini S&P MidCap 400,Stock Index,EMD,CME,$100 x Index Value,100,USD,"H,M,U,Z",0.1 / $10.00,0.1,10.0,EMD=F,,,0,
10,NIKKEI 225/USD,Stock Index,NKD,CME,$5 x Index Value,5,USD,"H,M,U,Z",5 / $25.00,5.0,25.0,NK=F,,,0,
