symbol,fecha_ven,multiplier,trading_class,exchange
GBS,20241206,1000.0,FGBS,EUREX
MGC,20241227,10.0,MGC,COMEX
QG,20241226,2500.0,QG,NYMEX
SXEP,20241220,50.0,FSTE,EUREX
SXEP,20250321,50.0,FSTE,EUREX
DJ600,20241220,50.0,FXXP,EUREX
DJ600,20250321,50.0,FXXP,EUREX
SX7E,20250321,50.0,FESB,EUREX
SX7E,20250620,50.0,FESB,EUREX
DAX,20250321,1.0,FDAX,EUREX
DAX,20250620,1.0,FDAX,EUREX
XINA50,20250124,1.0,XINA50,SGX
XINA50,20250227,1.0,XINA50,SGX
WIIDN,20250130,5.0,WIIDN,SGX
WIIDN,20250227,5.0,WIIDN,SGX
SSG,20241230,100.0,SSG,SGX
SSG,20250128,100.0,SSG,SGX
IBEX,20250117,1.0,IBEX,MEFFRV
IBEX,20250221,1.0,IBEX,MEFFRV
KOSDQ150,20250313,10000.0,KOSDQ150,KSE
KOSDQ150,20250612,10000.0,KOSDQ150,KSE
MES,20241220,5.0,MES,CME
K200M,20250109,50000.0,K200M,KSE
K200M,20250213,50000.0,K200M,KSE
ZAR,20241216,500000.0,6Z,CME
N225M,20241212,100.0,N225M,OSE.JPN
N225M,20250109,100.0,N225M,OSE.JPN
KU,20250120,25000000.0,KU,SGX
KU,20250217,25000000.0,KU,SGX
EBM,20250310,50.0,EBM,MATIF
EBM,20250512,50.0,EBM,MATIF
MNTPX,20241212,1000.0,MNTPX,OSE.JPN
MNTPX,20250313,1000.0,MNTPX,OSE.JPN
TSEMOTHR,20250313,1000.0,TSEMOTHR,OSE.JPN
TSEMOTHR,20250612,1000.0,TSEMOTHR,OSE.JPN
JPNK400,20250313,100.0,JPNK400,OSE.JPN
JPNK400,20250612,100.0,JPNK400,OSE.JPN
TSR20,20250131,50.0,TSR20,SGX
TSR20,20250228,50.0,TSR20,SGX
V2TX,20250122,100.0,FVS,EUREX
V2TX,20250219,100.0,FVS,EUREX
SXEP,20250321,50.0,FSTE,EUREX
SXEP,20250620,50.0,FSTE,EUREX
SX7E,20250321,50.0,FESB,EUREX
SX7E,20250620,50.0,FESB,EUREX
DAX,20250321,1.0,FDAX,EUREX
DAX,20250620,1.0,FDAX,EUREX
DJ600,20250321,50.0,FXXP,EUREX
DJ600,20250620,50.0,FXXP,EUREX
XINA50,20250227,1.0,XINA50,SGX
XINA50,20250328,1.0,XINA50,SGX
WIIDN,20250130,5.0,WIIDN,SGX
WIIDN,20250227,5.0,WIIDN,SGX
IBEX,20250221,1.0,IBEX,MEFFRV
IBEX,20250321,1.0,IBEX,MEFFRV
KOSDQ150,20250313,10000.0,KOSDQ150,KSE
KOSDQ150,20250612,10000.0,KOSDQ150,KSE
K200M,20250213,50000.0,K200M,KSE
K200M,20250313,50000.0,K200M,KSE
KU,20250217,25000000.0,KU,SGX
KU,20250317,25000000.0,KU,SGX
EBM,20250310,50.0,EBM,MATIF
EBM,20250512,50.0,EBM,MATIF
SSG,20250128,100.0,SSG,SGX
SSG,20250227,100.0,SSG,SGX
TSEMOTHR,20250313,1000.0,TSEMOTHR,OSE.JPN
TSEMOTHR,20250612,1000.0,TSEMOTHR,OSE.JPN
N225M,20250213,100.0,N225M,OSE.JPN
N225M,20250313,100.0,N225M,OSE.JPN
JPNK400,20250313,100.0,JPNK400,OSE.JPN
JPNK400,20250612,100.0,JPNK400,OSE.JPN
TSR20,20250131,50.0,TSR20,SGX
TSR20,20250228,50.0,TSR20,SGX
MNTPX,20250313,1000.0,MNTPX,OSE.JPN
MNTPX,20250612,1000.0,MNTPX,OSE.JPN
V2TX,20250219,100.0,FVS,EUREX
V2TX,20250318,100.0,FVS,EUREX
QG,20250128,2500.0,QG,NYMEX
WIIDN,20250130,5.0,WIIDN,SGX
SSG,20250128,100.0,SSG,SGX
